borough,ownername,lotarea,bldgarea,assesstot,bbl,latitude,longitude
MN,"107 WEST 68TH REALTY, LLC",6075.0,22380.0,2317050.0,1011400027,40.7752531259218,-73.9810266777217
MN,2020 BROADWAY ASSOCIATES LLC,5020.0,24500.0,3827700.0,1011410015,40.7762934703744,-73.98157519007191
MN,VERVELIS INC,1314.0,6000.0,1044450.0,1000110011,40.7048182307815,-74.01220511574579
MN,ST JAMES R C SCHOOL,3546.0,13960.0,662850.0,1001160049,40.7122516922561,-73.9989719722527
MN,"JAMES, MEREDITH",1478.0,2660.0,350220.0,1001420017,40.7185915674927,-74.0110135693745
MN,"NEW 379 BRIDGE, LLC",2404.0,14000.0,1066950.0,1001490029,40.714702599728,-74.00624053825041
MN,GABAY & AMERI II LLC,2200.0,0.0,1308600.0,1004640001,40.7295294809089,-73.9895691269941
MN,GABAY & AMERI II LLC,2960.0,0.0,1307250.0,1004640003,40.7296200519399,-73.9895041678255
MN,LIN SING ASSOCIATIONINC,4812.0,25480.0,1941300.0,1001640026,40.7153971882319,-73.9989105998901
MN,"CENTRE COURT,",7291.0,43942.0,13159350.0,1002070001,40.718111760559,-73.9995779304498
MN,55 LIBERTY OWNERS CORP,5198.0,167448.0,17514450.0,1000640008,40.708842319440606,-74.0093816260164
MN,"CONDOR FUNDING,",2994.0,31118.0,3190950.0,1000650020,40.7098304564163,-74.0091040273295
MN,SOUTH STREET LIMITED PARTNERSHIP,33348.0,128123.0,29007000.0,1000960001,40.706748409704204,-74.0029359491299
MN,11 PARK PLACE,12233.0,205000.0,14702850.0,1001240004,40.7131626637227,-74.0082279415553
MN,100 CHURCH FEE OWNER LLC,53354.0,932587.0,88290900.0,1001250020,40.713286025795796,-74.010136150188
MN,THE BANK OF NEW YORK MELLON,103043.0,1133549.0,105833250.0,1001280002,40.7145099853584,-74.0122357483383
MN,FELDMAN HERITAGE LLC,4503.0,30999.0,3861450.0,1001340011,40.7139970557974,-74.00844086990841
MN,HANOVER RIVER HOUSE INC,5036.0,55800.0,5912100.0,1001430021,40.717924665342004,-74.0102053966542
MN,40 HUDSON STREET OWNE,1730.0,9947.0,3038400.0,1001440018,40.71712331043,-74.00881282582209
